Genesis
[Genesis 3:16]	הֵֽרֹנֵ֔	הֵרוֹן	pregnancy	
[Genesis 49:17]	שְׁפִיפֹ֖ן	שְׁפִיפֹן	horned viper	
[Genesis 49:21]	אִמְרֵי	אֵ֫מֶר 2	twig	
[Genesis 49:21]	שָֽׁפֶר	שֶׁ֫פֶר 1	beauty; darling, loved one	
[Genesis 50:3]	חֲנֻטִ֑ים	חֲנֻטִים	embalming	
[Genesis 50:4]	בְכִית֔	בְּכִית	formal weeping	

Exodus
[Exodus 1:19]	חָי֣וֹת	חָיֶה	lively, vigorous	
[Exodus 2:3]	תַּחְמְרָ֥	חמר 5	to pitch	
[Exodus 3:2]	לַבַּת	לַבָּה	flame	
[Exodus 3:14]	אֶֽהְיֶ֖ה	אֶהְיֶה	"I Am", "I Will Be"	
[Exodus 4:26]	מּוּלֹֽת	מוּלָה	circumcision	
[Exodus 6:9]	קֹּ֣צֶר	קֹ֫צֶר	shortness; despondency; despondency	
[Exodus 7:11]	לַהֲטֵי	לְהָטִים	mysteries, enchantments	
[Exodus 9:31]	גִּבְעֹֽל	גִּבְעֹל	flower bud	
[Exodus 9:32]	אֲפִילֹ֖ת	אָפִיל	late in the season	
[Exodus 12:4]	תָּכֹ֖סּוּ	כסס	to count out (portions)	
[Exodus 12:9]	נָ֔א	נָא 2	raw, underdone	
[Exodus 14:25]	כְבֵדֻ֑ת	כְּבֵדֻת	hardship	
[Exodus 15:2]	אַנְוֵ֔	נוה 2	to glorify	
[Exodus 15:8]	נֶ֣עֶרְמוּ	ערם 1	to surge up	
[Exodus 15:10]	צָֽלֲלוּ֙	צלל 2	to sink	
[Exodus 16:14]	מְחֻסְפָּ֔ס	חספס	(pt.) crackling	
[Exodus 16:15]	מָ֣ן	מָן 2	what?	
[Exodus 16:20]	יָּ֥רֻם	רמם 1	to decay	
[Exodus 16:31]	צַפִּיחִ֥ת	צַפִּיחִת	flat pastry	
[Exodus 16:33]	צִנְצֶ֣נֶת	צִנְצֶ֫נֶת	basket, container, bottle	
[Exodus 21:6]	רָצַ֨ע	רצע	to pierce through	
[Exodus 21:10]	עֹנָת	עֹנָה	sexual intercourse, intimacy	
[Exodus 22:5]	בְּעֵרָֽה	בְּעֵרָה	burning; burned object	
[Exodus 22:28]	דִמְעֲ	דֶּ֫מַע	juice	
[Exodus 23:22]	אָֽיַבְתִּי֙	איב	to be hostile to	
[Exodus 24:11]	אֲצִילֵי֙	אָצִיל 2	noble	
[Exodus 26:12]	סֶ֙רַח֙	סֶ֫רַח	(what is) overhanging	
[Exodus 28:4]	תַּשְׁבֵּ֖ץ	תַּשְׁבֵּץ	checkered; with decorative edges; hemmed	
[Exodus 28:14]	מִגְבָּלֹ֛ת	מִגְבָּלוֹת	chains	
[Exodus 30:1]	מִקְטַ֣ר	מִקְטָר	incense altar	
[Exodus 30:23]	דְּרוֹר֙	דְּרוֹר 2	stacte; congealed drops of myrrh, oil, ointment	
[Exodus 30:34]	נָטָ֤ף	נָטָף	drops of stacte	
[Exodus 30:34]	שְׁחֵ֙לֶת֙	שְׁחֵ֫לֶת	the closing flap of certain mollusks; garden cress	
[Exodus 30:34]	חֶלְבְּנָ֔ה	חֶלְבְּנָה	galbanum	
[Exodus 32:16]	חָר֖וּת	חרת	(pt.) engraved	
[Exodus 32:18]	חֲלוּשָׁ֑ה	חֲלוּשָׁה	defeat	
[Exodus 32:25]	שִׁמְצָ֖ה	שִׁמְצָה	gloating, mockery, ridicule; (alt.) disgrace, dishonor, bad reputation	
[Exodus 33:22]	שַׂכֹּתִ֥י	שׂכך 1	to set in a blocking position, hold protectively	
[Exodus 35:25]	מַטְוֶ֗ה	מַטְוֶה	what has been spun	

Leviticus
[Leviticus 1:16]	מֻרְאָת֖	מֻרְאָה	craw	
[Leviticus 2:4]	מַאֲפֵ֣ה	מַאֲפֶה	pastry	
[Leviticus 2:6]	פָּת֤וֹת	פתת	to crumble	
[Leviticus 3:9]	עָצֶ֖ה	עָצֶה	os sacrum, bone close to fat-tail	
[Leviticus 5:6]	כִּשְׂבָּ֛ה	כִּשְׂבָּה	young ewe-lamb	
[Leviticus 5:21]	תְשׂ֤וּמֶת	תְּשׂ֫וּמֶת	deposited (entrusted) property	
[Leviticus 6:2]	מוֹקְדָ֨ה	מוֹקְדָה	hearth; on the hearth	
[Leviticus 6:14]	תֻּפִינֵי֙	תֻּפִינִים	broken; baked; folded ?	
[Leviticus 11:14]	דָּאָ֔ה	דָּאָה	red kite	
[Leviticus 11:18]	רָחָֽם	רָחָם	vulture	
[Leviticus 11:22]	סָּלְעָ֖ם	סָלְעָם	locust	
[Leviticus 11:22]	חַרְגֹּ֣ל	חַרִגֹּל	a kind of locust,	
[Leviticus 11:29]	חֹ֥לֶד	חֹ֫לֶד	mole	
[Leviticus 11:29]	צָּ֥ב	צָב 2	thorn-tailed lizard	
[Leviticus 11:30]	אֲנָקָ֥ה	אֲנָקָה 2	gecko	
[Leviticus 11:30]	כֹּ֖חַ	כֹּחַ 2	a species of lizard	
[Leviticus 11:30]	לְּטָאָ֑ה	לְטָאָה	gecko	
[Leviticus 11:30]	חֹ֖מֶט	חֹ֫מֶט	reptile	
[Leviticus 11:35]	כִירַ֛יִם	כִּיר	small stove	
[Leviticus 12:2]	דְּוֹת	דוה	to menstruate	
[Leviticus 13:39]	בֹּ֥הַק	בֹּ֫הַק	(harmless) skin rash; white spot, blister	
[Leviticus 13:41]	גִּבֵּ֥חַ	גִּבֵּחַ	receding hair-line	
[Leviticus 13:55]	פְּחֶ֣תֶת	פְּחֶ֫תֶת	rotten patches of fabric or leather; mildew	
[Leviticus 14:37]	שְׁקַֽעֲרוּרֹת֙	שְׁקַעֲרוּרָה	depression, hollow, cavity	
[Leviticus 14:41]	יַקְצִ֥עַ	קצע 1	to scrape	
[Leviticus 15:3]	רָ֣ר	ריר	to let flow, secrete	
[Leviticus 15:8]	יָרֹ֛ק	רקק 1	to spit upon	
[Leviticus 16:4]	יִצְנֹ֑ף	צנף 1	to wind around, wrap up	
[Leviticus 16:21]	עִתִּ֖י	עִתִּי	timely	
[Leviticus 16:22]	גְּזֵרָ֑ה	גָּזֵּר	infertile	
[Leviticus 18:17]	שַׁאֲרָ֥ה	שַׁאֲרָה	flesh signifying a familial relationship, relative	
[Leviticus 18:18]	צְרֹ֗ר	צרר 3	to be a concubine, second wife	
[Leviticus 19:10]	פֶ֥רֶט	פֶּ֫רֶט	grapes that have fallen in a vineyard	
[Leviticus 19:20]	נֶחֱרֶ֣פֶת	חרף 4	(pt.) intended for (another) man, engaged	
[Leviticus 19:20]	חֻפְשָׁ֖ה	חֻפְשָׁה	setting free	
[Leviticus 19:20]	בִּקֹּ֧רֶת	בִּקֹּ֫רֶת	obligation to compensate	
[Leviticus 19:20]	חֻפָּֽשָׁה	חפשׁ	to be given one’s freedom	
[Leviticus 19:28]	שֶׂ֣רֶט	שֶׂ֫רֶט	slashes, cuts	
[Leviticus 19:28]	כְתֹ֣בֶת	כְּתֹ֫בֶת	tattoo	
[Leviticus 19:28]	קַֽעֲקַ֔ע	קַעֲקַע	tattoo	
[Leviticus 21:5]	שָׂרָֽטֶת	שָׂרֶ֫טֶת	individual cuts, incisions	
[Leviticus 21:20]	גִבֵּ֣ן	גִּבֵּן	hunchbacked	
[Leviticus 21:20]	תְּבַלֻּ֣ל	תְּבַלֻּל	with a (white) spot in the eye	
[Leviticus 21:20]	מְר֥וֹחַ	מָרוֹחַ	crushed	
[Leviticus 21:20]	אָֽשֶׁךְ	אֶ֫שֶׁךְ	testicle	
[Leviticus 22:22]	עַוֶּרֶת֩	עַוֶּ֫רֶת	blindness	
[Leviticus 22:22]	שָׁב֜וּר	שָׁבוּר	fracture, damage to a part of the body	
[Leviticus 22:22]	חָר֣וּץ	חָרוּץ 4	mutilation; mutilated	
[Leviticus 22:22]	יַבֶּ֗לֶת	יַבֶּ֫לֶת	wart	
[Leviticus 22:23]	קָל֑וּט	קלט 1	(pt.) with stunted limbs or shortened tail; (alt.) overgrown	
[Leviticus 22:25]	מָשְׁחָתָ֤	מָשְׁחָת	fault, blemish	
[Leviticus 25:42]	מִמְכֶּ֥רֶת	מִמְכֶּ֫רֶת	sale	
[Leviticus 25:47]	עֵ֖קֶר	עֵ֫קֶר 1	descendant	
[Leviticus 26:5]	דַּ֙יִשׁ֙	דַּ֫יִשׁ	threshing, threshing season	
[Leviticus 26:13]	קֽוֹמְמִיּֽוּת	קוֹמְמִיּוּת	in an upright position	
[Leviticus 26:16]	מְדִיבֹ֣ת	דוב	pt. making life pine away	
[Leviticus 26:36]	מֹ֙רֶךְ֙	מֹ֫רֶךְ	despair	
[Leviticus 26:37]	תְּקוּמָ֔ה	תְּקוּמָה	power to stand	

Numbers
[Numbers 3:49]	פִּדְי֑וֹם	פִּדְיוֹם	ransom, price of redemption	
[Numbers 5:21]	צָבָֽה	צָבֶה	swollen	
[Numbers 6:3]	מִשְׁרַ֤ת	מִשְׁרָה	liquid	
[Numbers 6:4]	חַרְצַנִּ֛ים	חַרְצָן	unripe grapes; alt. seed	
[Numbers 6:4]	זָ֖ג	זָג	(grape) stone or skin	
[Numbers 8:16]	פִּטְרַ֨ת	פִּטְרָה	first-born	
[Numbers 11:4]	אסַפְסֻף֙	אֲסַפְסֻף	bunch of vagabonds	
[Numbers 11:5]	קִּשֻּׁאִ֗ים	קִשֻּׁאָה	musk melon	
[Numbers 11:5]	אֲבַטִּחִ֔ים	אֲבַטִּיחַ	watermelon; melon	
[Numbers 11:5]	חָצִ֥יר	חָצִיר 2	leek	
[Numbers 11:5]	בְּצָלִ֖ים	בָּצָל	onion	
[Numbers 11:5]	שּׁוּמִֽים	שׁוּמִים	garlic	
[Numbers 11:8]	דָכוּ֙	דוך	to pound; to crush	
[Numbers 11:8]	מְּדֹכָ֔ה	מְדֹכָה	mortar	
[Numbers 11:20]	זָרָ֑א	זָרָא	nausea	
[Numbers 11:28]	בְּחֻרָ֖י	בְּחוּרִים	age, youthful condition	
[Numbers 13:30]	יַּ֧הַס	הסה	to quieten the people	
[Numbers 15:28]	חֶטְאָ֥ה	חֶטְאָה	error, fault	
[Numbers 16:30]	בְּרִיאָ֞ה	בְּרִיאָה	something new, unheard; creature	
[Numbers 17:3]	רִקֻּעֵ֤י	רִקֻּעַ	metal sheet, beaten flat	
[Numbers 18:8]	מָשְׁחָ֛ה	מָשְׁחָה 2	portion	
[Numbers 19:15]	צָמִ֥יד	צָמִיד 2	lid, stopper, tie	
[Numbers 21:5]	קְּלֹקֵֽל	קְלֹקֵל	wretched food; (alt) a cassia (?) plant	
[Numbers 21:29]	שְּׁבִ֔ית	שְׁבִית	captivity	
[Numbers 22:24]	מִשְׁע֖וֹל	מִשְׁעוֹל	narrow pass	
[Numbers 22:32]	יָרַ֥ט	ירט	to cast, throw; to be a slippery	
[Numbers 23:10]	רֹ֣בַע	רֹ֫בַע 2	dust; dust-cloud	
[Numbers 24:6]	אֲהָלִים֙	אֲהָלִים 2	ice-plant	
[Numbers 24:17]	קַרְקַ֖ר	קַרְקַר	crown, skull; (alt.) to ruin, pull down	
[Numbers 25:8]	קֻּבָּ֗ה	קֻבָּה	room, inner room; tent-sanctuary	
[Numbers 25:18]	נִכְלֵי	נֵ֫כֶל	deceitfulness	
[Numbers 32:14]	תַּרְבּ֖וּת	תַּרְבּוּת	increase, brood	
[Numbers 32:24]	צֹנַאֲ	צֹנָא	flocks	
[Numbers 32:41]	חַוֹּתֵי	חַוָּה 1	tent camp, tent village	
[Numbers 33:55]	שִׂכִּים֙	שֵׂךְ	thorn	
[Numbers 34:11]	מָחָ֛ה	מחה 2	to encounter, meet	

Deuteronomy
[Deuteronomy 1:41]	תָּהִ֖ינוּ	הון	to regard as easy; to risk	
[Deuteronomy 2:5]	מִדְרַ֣ךְ	מִדְרָךְ	footprint, a foot’s breadth	
[Deuteronomy 6:7]	שִׁנַּנְתּ	שׁנן 2	to repeat	
[Deuteronomy 8:9]	מִסְכֵּנֻת֙	מִסְכֵּנֻת	poverty	
[Deuteronomy 9:27]	קְשִׁי֙	קְשִׁי	obstinacy	
[Deuteronomy 14:5]	אַקּ֥וֹ	אַקּוֹ	wild goat	
[Deuteronomy 14:5]	דִישֹׁ֖ן	דִּישׁוֹן 1	aurochs (?)	
[Deuteronomy 14:5]	זָֽמֶר	זֶ֫מֶר	kind of gazelle	
[Deuteronomy 14:13]	רָאָה֙	רָאָה	red kite	
[Deuteronomy 14:17]	רָחָ֖מָה	רָחָ֫מָה	vulture	
[Deuteronomy 15:2]	מַשֵּׁ֣ה	מַשֶּׁה	loan	
[Deuteronomy 16:10]	מִסַּ֛ת	מִסָּה	(according to a) given measure	
[Deuteronomy 21:15]	שְּׂנִיאָֽה	שָׂנִיא	reduced in status	
[Deuteronomy 22:8]	מַעֲקֶ֖ה	מַעֲקֶה	parapet	
[Deuteronomy 23:2]	דַּכָּ֛א	דַּכָּא 2	crushing; castrated (by crushing)	
[Deuteronomy 23:2]	שָׁפְכָ֖ה	שָׁפְכָה	urethra; male organ	
[Deuteronomy 23:11]	קְּרֵה	קָרֶה	nocturnal occurrence, seminal emission	
[Deuteronomy 23:14]	אֲזֵנֶ֑	אָזֵן	equipment	
[Deuteronomy 23:26]	מְלִילֹ֖ת	מְלִילָה	ears of corn for rubbing	
[Deuteronomy 24:20]	תְפָאֵ֖ר	פאר 1	to search through branches	
[Deuteronomy 25:11]	מְבֻשָֽׁי	מְבוּשִׁים	genitals	
[Deuteronomy 25:18]	נֶּחֱשָׁלִ֣ים	חשׁל	(pt.) those worn out, stragglers	
[Deuteronomy 27:9]	הַסְכֵּ֤ת	סכת	to be quiet	
[Deuteronomy 27:23]	חֹֽתַנְתּ֑	חֹתֶ֫נֶת	mother-in-law	
[Deuteronomy 28:20]	מִּגְעֶ֔רֶת	מִגְעֶ֫רֶת	reproach, threat	
[Deuteronomy 28:22]	דַּלֶּ֗קֶת	דַּלֶּ֫קֶת	flame: fever-heat	
[Deuteronomy 28:22]	חַרְחֻר֙	חַרְחֻר	feverish heat	
[Deuteronomy 28:27]	חָ֑רֶס	חֶ֫רֶס 1	scabies	
[Deuteronomy 28:32]	כָל֥וֹת	כָּלֶה	longing; failing	
[Deuteronomy 28:38]	יַחְסְלֶ֖	חסל	to eat away	
[Deuteronomy 28:56]	רֹ֑ךְ	רֹךְ	delicacy	
[Deuteronomy 28:57]	שִׁלְיָת	שִׁלְיָה	afterbirth	
[Deuteronomy 28:65]	רַגָּ֔ז	רַגָּז	agitated, quivering	
[Deuteronomy 28:65]	דַֽאֲב֥וֹן	דְּאָבוֹן	languishing, despair	
[Deuteronomy 32:2]	שְׂעִירִ֣ם	שָׂעִיר 4	rain (gentle? violent?); raindrops	
[Deuteronomy 32:5]	פְתַלְתֹּֽל	פְּתַלְתֹּל	tortuous, perverse	
[Deuteronomy 32:10]	יְלֵ֣ל	יְלֵל	howling	
[Deuteronomy 32:14]	חָֽמֶר	חֶ֫מֶר	wine	
[Deuteronomy 32:15]	כָּשִׂ֑יתָ	כשׂה	to become obstinate	
[Deuteronomy 32:17]	שְׂעָר֖וּ	שׂער 3	to know of, about	
[Deuteronomy 32:18]	תֶּ֑שִׁי	שׁיה	to forget	
[Deuteronomy 32:24]	מְזֵ֥י	מָזֶה	weakened	
[Deuteronomy 32:24]	מְרִירִ֑י	מְרִירִי	bitter	
[Deuteronomy 32:26]	אַפְאֵי	פאה	to strike down, wipe out	
[Deuteronomy 32:34]	כָּמֻ֣ס	כמס	to store up	
[Deuteronomy 32:35]	שִׁלֵּ֔ם	שִׁלֵּם 2	recompense	
[Deuteronomy 32:38]	סִתְרָֽה	סִתְרָה	protection	
[Deuteronomy 32:43]	אַדְמָת֖	אֲדָמָה 3	red blood	
[Deuteronomy 33:2]	אֵשְׁדָּת	אֵשְׁדָּת	angel? warrior?	
[Deuteronomy 33:3]	חֹבֵ֣ב	חבב	to love	
[Deuteronomy 33:3]	תֻּכּ֣וּ	תכה	to settle down; (alt.) to follow	
[Deuteronomy 33:3]	דַּבְּרֹתֶֽי	דַּבֶּ֫רֶת	sayings; alt. behind	
[Deuteronomy 33:10]	קְטוֹרָה֙	קְטוֹרָה	fumes	
[Deuteronomy 33:12]	חֹפֵ֤ף	חפף	(pt.) shield	
[Deuteronomy 33:14]	גֶּ֥רֶשׁ	גֶּ֫רֶשׁ	yield	
[Deuteronomy 33:19]	שֶׁ֤פַע	שֶׁ֫פַע	abundance, affluence	
[Deuteronomy 33:19]	שְׂפוּנֵ֖י	שׂפן	to hide; (pt. pass.) hidden	
[Deuteronomy 33:22]	יְזַנֵּ֖ק	זנק	to leap forth, shy at	
[Deuteronomy 33:25]	מִנְעָלֶ֑י	מִנְעָל	bar	
[Deuteronomy 33:25]	דָּבְאֶֽ	דֹּ֫בֶא	strength	
[Deuteronomy 34:7]	לֵחֹֽ	לֵחַ	vital force, freshness	

Joshua
[Joshua 2:1]	חֶ֣רֶשׁ	חֶ֫רֶשׁ 2	very quietly, secretly	
[Joshua 9:4]	יִּצְטַיָּ֑רוּ	ציר	to take along as provisions for a journey (emend.)	
[Joshua 9:12]	הִצְטַיַּ֤דְנוּ	ציד	to take along as provisions for a journey	
[Joshua 10:20]	שָׂרְד֣וּ	שׂרד	to run away from, escape	
[Joshua 16:9]	מִּבְדָּלוֹת֙	מִבְדָּלוֹת	set apart	
[Joshua 17:11]	נָּֽפֶת	נֶ֫פֶת	small hill	
[Joshua 20:9]	מּֽוּעָדָ֜ה	מוּעָדָה	agreement	
[Joshua 22:22]	מֶ֤רֶד	מֶ֫רֶד 1	rebellion	
[Joshua 23:13]	שֹׁטֵ֤ט	שֹׁטֵט	scourge	
[Joshua 24:7]	מַֽאֲפֵ֜ל	מַאֲפֵל	darkness	
[Joshua 24:26]	אַלָּ֔ה	אַלָּה	majestic tree	

Judges
[Judges 3:16]	גֹּ֣מֶד	גֹּ֫מֶד	a linear measure; short cubit	
[Judges 3:22]	נִּצָּ֜ב	נִצָּב	grip, handle	
[Judges 3:22]	פַּרְשְׁדֹֽנָה	פַּרְשְׁדֹן	feces; hole?	
[Judges 3:23]	מִּסְדְּר֑וֹנָה	מִסְדְּרוֹן	vestibule, lavatory, air shaft?	
[Judges 3:31]	מַלְמַ֖ד	מַלְמָד	prod	
[Judges 4:5]	תֹּ֜מֶר	תֹּ֫מֶר 1	date palm; Tomer	
[Judges 4:18]	שְּׂמִיכָֽה	שְׂמִיכָה	cover, covering	
[Judges 5:10]	צְחֹר֜וֹת	צָחֹר	white; yellow-ish red; reddish grey?	
[Judges 5:11]	מַשְׁאַבִּ֔ים	מַשְׁאָב	trough, drinking pipe	
[Judges 5:17]	מִפְרָצָ֖י	מִפְרָץ	bay, mooring point	
[Judges 5:21]	גְּרָפָ֔	גרף	to wash away	
[Judges 5:21]	קְדוּמִ֖ים	קְדוּמִים	primaeval; (alt.) the front (projecting parts)	
[Judges 5:26]	הַלְמ֣וּת	הַלְמוּת	hammer	
[Judges 5:26]	מָחֲקָ֣ה	מחק	to shatter	
[Judges 5:28]	תְּיַבֵּ֛ב	יבב	to lament	
[Judges 5:30]	רַחֲמָתַ֙יִם֙	רַחֲמָה	womb	
[Judges 6:2]	מִּנְהָרוֹת֙	מִנְהָרָה	caves	
[Judges 7:3]	יִצְפֹּ֖ר	צפר 1	to go away/forth; to bend; to slink away	
[Judges 7:13]	צְלוֹל	צָלוּל	a cake of barley bread, hard or dry barley bread, a dry loaf	
[Judges 9:11]	מָתְקִ֔	מֹ֫תֶק	sweetness	
[Judges 9:31]	תָרְמָ֣ה	תָּרְמָה	deception, cunning, secrecy; (alt.) Tormah	
[Judges 9:48]	שׂוֹכַ֣ת	שׂוֹכָה	an individual tree, branch, twig	
[Judges 9:49]	שׂוֹכֹ֗	שׂוֹךְ	branches, twigs	
[Judges 11:37]	וְרַעְיֹתָי	רֵעְיָה	companion, friend	
[Judges 14:4]	תֹאֲנָ֥ה	תֹּאֲנָה	occasion, reason	
[Judges 16:16]	תְּאַֽלֲצֵ֑	אלץ	to importune (with words)	
[Judges 16:26]	וְהֵימִשֵׁנִי	ימשׁ	to touch; to let handle, touch, feel	
[Judges 18:7]	עֶ֔צֶר	עֶ֫צֶר	oppression; oppressor; (alt.) prosperity	
[Judges 18:9]	תֵּעָ֣צְל֔וּ	עצל	to vacillate, hesitate	
[Judges 19:2]	תִּזְנֶ֤ה	זנה 2	to feel repugnance	
[Judges 20:33]	מַּֽעֲרֵה	מַעֲרֶה	glade, clearing	

1 Samuel
[1 Samuel 1:6]	צָֽרָת	צָרָה 2	concubine, second wife; enmity	
[1 Samuel 1:17]	שֵׁ֣לָת	שֵׁלָה 1	petition	
[1 Samuel 2:29]	הַבְרִֽיאֲ	ברא 2	to make oneself fat	
[1 Samuel 2:33]	אֲדִ֣יב	אדב	to languish; grieve	
[1 Samuel 2:36]	אֲג֥וֹרַת	אֲגוֹרָה	payment	
[1 Samuel 3:13]	כִהָ֖ה	כהה 2	to rebuke	
[1 Samuel 4:18]	מַפְרַקְתּ	מַפְרֶ֫קֶת	neck	
[1 Samuel 5:9]	יִּשָּׂתְר֥וּ	שׂתר	to be burst open	
[1 Samuel 6:18]	כֹּ֣פֶר	כֹּ֫פֶר 1	open village	
[1 Samuel 7:2]	יִּנָּה֛וּ	נהה 2	to stick to	
[1 Samuel 8:13]	טַבָּח֖וֹת	טַבָּחָה	female cook	
[1 Samuel 9:7]	תְשׁוּרָ֥ה	תְּשׁוּרָה	gift	
[1 Samuel 13:6]	חֲוָחִים֙	חוֹחַ 2	hole, crevice	
[1 Samuel 13:21]	פְּצִ֣ירָה	פְּצִירָה	charge, fee	
[1 Samuel 13:21]	פִ֗ים	פִּים	pim, measurement of weight: 2/3rds of a shekel	
[1 Samuel 13:21]	קִלְּשׁ֖וֹן	קִלְּשׁוֹן	sharpening; fine point	
[1 Samuel 14:12]	מַּצָּבָ֜ה	מַצָּבָה	garrison	
[1 Samuel 14:27]	יַעְרַ֣ת	יַעֲרָה 1	honeycomb	
[1 Samuel 15:9]	נְמִבְזָ֥ה	נְמִבְזָה	despised	
[1 Samuel 15:33]	יְשַׁסֵּ֨ף	שׁסף	to cut to pieces, divide up	
[1 Samuel 17:6]	מִצְחַ֥ת	מִצְחָה	front side; shins	
[1 Samuel 17:8]	בְּרוּ	ברה 2	to enter into a covenant	
[1 Samuel 17:18]	חֲרִצֵ֤י	חָרִיץ 1	slice, portion	
[1 Samuel 17:39]	יֹּ֣אֶל	אלה 3	to fall short	
[1 Samuel 17:40]	חַלֻּקֵֽי	חַלֻּק	smooth	
[1 Samuel 17:40]	יַּלְק֖וּט	יַלְקוּט	shepherd’s pouch	
[1 Samuel 18:6]	שָׁלִשִֽׁים	שָׁלִישׁ 2	cymbal; (alt.) sistrum, lute	
[1 Samuel 18:18]	חַיַּ֔	חַי 3	family, kinsfolk	
[1 Samuel 19:20]	לַהֲקַ֤ת	לַהֲקָה	(venerable) company	
